143,0,1.0,1.0,1.0,0.0,1.0,0.0,42.2,51.5,4.7,10.95744681,1.0,0.0,1.0,1.0,2.0,9.2,301.0,1851.0,2318.0,8500.0,0.0,1.0,92.5,39.4,47.5,0.831578947,13.4057971,6.884057971,5.710144927999999,6.9,,,,,,,,,96.9,66.6,27.0,2.4565217390000003,30.28125,8.4375,20.8125,3.2,181.0,85.0,72.8,30.8,38.5,0.8,5.7,12.77192982,5.403508772,6.754385965,91.9,94.3,43.9,50.2,0.874501992,1.6,99.9,50.2,49.3,1.018255578,0.0,99.8,47.7,51.9,0.919075145,0.0,38.4,2010,1250,580,90,620.0,480.0,70.0,20.0,1490.0,1280.0,130.0,30.0,1.57,0.54,2.57,27.4,0.28,0.7,0.14,0.78,15.45,0.17,0.25,0.24,22.05,,,0.54,2.64,27.4,0.28,0.7,0.14,2.14,19.76,1.07,0.25,0.24,21.32,,18.42,0.54,4.1,27.4,0.28,0.7,0.14,4.45,17.43,10.34,0.25,0.24,23.57,,211.81,0.54,9.08,54.38,0.35,0.7,0.14,27.12,40.97,168.55,0.25,0.24,39.48,
145,0,0.0,1.0,0.0,0.0,0.0,1.0,60.0,75.0,19.3,3.886010363,1.0,0.0,1.0,1.0,2.0,8.5,280.0,2376.0,1258.0,94587.0,1.0,1.0,85.4,57.3,27.3,2.100917431,44.94736842,14.36842105,30.15789474,1.9,94.9,69.8,24.0,2.882352941,79.08333333,20.0,58.16666667,1.2,98.6,84.8,13.5,6.181818182000001,123.25,16.875,106.0,0.8,418.6,87.0,84.3,55.4,27.1,2.0442804430000003,2.0,42.15,27.7,13.55,88.6,92.9,62.1,30.1,2.063122924,,99.8,64.2,35.4,1.813559322,0.1,99.9,63.2,36.4,1.736263736,0.0,37.1,580,160,400,0,2420.0,2170.0,150.0,30.0,2000.0,1590.0,160.0,100.0,2.12,0.54,1.39,27.8,0.28,0.72,0.12,2.65,8.85,0.35,0.26,0.41,14.16,181.63,,0.84,2.09,26.44,0.28,0.72,0.12,4.31,16.77,3.71,0.26,0.28,14.14,215.56,272.64,0.54,7.36,165.15,0.28,0.72,0.15,51.81,67.79,157.53,0.26,0.28,20.38,333.07,837.68,0.54,5.75,48.33,0.92,0.72,0.31,168.6,120.03,117.5,0.45,0.28,13.48,1052.87
173,0,1.0,1.0,1.0,0.0,0.0,1.0,90.0,87.9,6.5,13.52307692,1.0,1.0,1.0,1.0,2.0,232.7,301.0,4985.0,9059.0,35430.0,1.0,1.0,95.4,55.1,37.0,1.489414695,36.69230769,14.23076923,21.19230769,2.6,,,,,,,,,,,,,,,,,,,84.78,45.36,33.91,1.337658508,1.95,43.47692308,23.26153846,17.38974359,94.04,97.24,59.1,37.49,1.576420379,1.18,99.84,62.91,36.3,1.7330578509999999,0.04,99.82,57.52,41.93,1.37181016,0.03,52.41,3870,860,2820,60,500.0,430.0,40.0,0.0,320.0,10.0,270.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0,0.0,0.0,1.0,0.0,1.0,1.0,99.0,,,,1.0,1.0,1.0,0.0,0.0,272.4,301.0,9375.0,,,0.0,0.0,84.4,11.9,70.8,0.167964405,5.7414965989999995,4.8163265310000005,0.80952381,14.7,,,,,,,,,69.7,26.6,43.6,0.605504587,2.3233333330000003,1.4533333330000002,0.8866666670000001,30.0,2.0,1.1,49.8,8.0,39.2,0.204081633,6.3,7.904761905,1.26984127,6.222222222,80.5,,,,,,98.5,28.9,68.2,0.42375366600000003,0.8,98.8,13.4,84.9,0.157832744,,50.2,8730,3540,4620,470,1070.0,560.0,140.0,0.0,,,,,9.08,0.49,26.3,55.95,0.41,1.34,0.13,25.11,118.86,1.89,0.27,0.82,24.61,,23.45,0.64,14.5,50.35,0.23,1.54,0.13,12.08,118.86,2.21,0.22,0.82,15.45,,,,,,,,,,,,,,,,39.32,0.65,15.67,63.22,0.23,1.85,0.13,15.41,162.34,6.05,0.21,0.82,12.46,
191,0,0.0,1.0,1.0,0.0,0.0,0.0,,65.3,13.5,4.837037037,,0.0,2.0,1.0,1.0,0.4,191.8,336.0,615.0,543.0,0.0,1.0,65.4,33.4,29.4,1.136125654,6.884210526,3.094736842,3.515789474,9.5,82.6,49.2,30.7,1.6026058630000002,7.509090909,2.790909091,4.472727273,11.0,98.2,79.9,14.3,5.62962963,81.83333333,11.91666667,66.58333333,1.2,359.2,73.5,49.7,23.3,24.3,0.958847737,4.3,11.55813953,5.418604651,5.651162791,81.5,,,,,,98.3,77.0,16.8,4.583333333,0.7,99.0,81.4,13.5,6.02962963,0.41600000000000004,39.2,6170,3920,1290,640,2120.0,1970.0,40.0,10.0,1060.0,400.0,390.0,150.0,8.04,0.54,3.63,28.24,0.29,0.71,0.12,1.89,7.21,0.62,0.25,0.26,22.74,173.44,3.99,0.54,1.99,28.24,0.29,0.71,0.12,1.04,7.79,0.48,0.25,0.26,18.86,175.58,11.1,0.54,2.41,28.24,0.29,0.71,0.12,1.62,6.57,2.57,0.25,0.26,18.91,153.61,150.77,0.54,4.18,28.24,0.24,0.71,0.12,3.3,8.33,13.85,0.25,0.26,18.18,154.04
263,0,1.0,1.0,1.0,0.0,1.0,1.0,71.4,81.1,4.9,16.55102041,1.0,0.0,2.0,1.0,1.0,8.5,301.0,1116.0,1046.0,38117.0,1.0,1.0,76.1,34.5,40.7,0.846846847,12.89830508,6.898305085,5.847457627000001,5.9,87.2,50.7,34.4,1.475,96.88888889,38.22222222,56.33333333,0.9,97.2,77.5,17.7,4.181818182,138.8571429,25.28571429,110.7142857,0.7,995.0,85.0,75.9,32.6,40.0,0.815,3.4,22.32352941,9.588235294,11.76470588,92.7,96.3,42.5,52.5,0.80952381,0.4,99.9,49.2,50.5,0.974257426,0.0,100.0,39.8,59.8,0.665551839,0.0107,40.7,1210,80,1110,10,440.0,320.0,100.0,0.0,340.0,280.0,60.0,0.0,18.12,0.55,5.96,29.7,0.28,,0.14,4.22,31.3,0.6,,,25.69,475.17,,,,,,,,,,,,,,,58.81,1.08,3.87,23.0,0.28,0.75,0.14,12.77,16.62,18.09,0.24,0.27,25.33,487.07,755.07,0.72,5.65,30.49,0.28,0.75,0.14,45.76,52.9,122.15,0.24,0.27,29.49,865.2
278,0,0.0,1.0,1.0,0.0,1.0,1.0,94.0,90.5,9.5,9.526315789,1.0,1.0,2.0,0.0,1.0,15.6,250.5,2246.0,2139.0,14349.0,0.0,1.0,89.4,60.1,28.6,2.101769912,9.216494845,2.9484536080000003,6.195876289,9.7,94.3,70.8,23.2,3.054054054,18.13461538,4.461538462,13.61538462,5.2,97.6,86.7,11.8,7.25,81.33333333,9.833333332999999,72.25,1.2,3593.2,77.0,66.7,42.9,22.5,1.9066666669999999,1.4,47.64285714,30.64285714,16.07142857,70.0,,,,,,99.8,68.9,30.2,2.2814569540000003,0.0,99.5,60.5,38.0,1.592105263,,15.4,7360,4750,1580,770,340.0,210.0,60.0,10.0,310.0,170.0,100.0,10.0,4.48,0.47,3.19,57.5,0.27,0.83,0.83,5.48,21.46,3.18,0.23,0.8,19.57,292.94,110.16,5.92,7.4,61.89,0.27,9.41,9.41,15.68,36.76,16.86,0.62,0.8,12.04,440.0,292.26,5.81,13.28,107.31,0.27,1.13,1.13,137.73,128.66,54.68,0.59,0.8,12.88,621.81,119.46,0.81,8.48,88.27,0.49,0.76,0.76,37.36,106.5,15.56,0.27,1.14,4.75,1046.85
289,1,,,,,,,,,,,,,,,,,,,,,,,70.3,46.2,22.0,2.101246106,,,,12.2,,,,,,,,,,,,,,,,,,,9.6,6.1,3.2,1.90625,2.9,,,,,93.5,62.6,30.7,2.039087948,,,,,,,,,,,,,19340,770,2900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,0,0.0,0.0,1.0,0.0,1.0,1.0,0.05,52.6,18.7,2.812834225,0.0,1.0,2.0,0.0,0.0,5.5,56.3,1421.0,1255.0,1112.0,0.0,0.0,95.5,33.8,57.0,0.593314763,23.875,14.25,8.45,4.0,78.0,56.8,19.2,2.952380952,5.954198473,1.465648855,4.335877863,13.1,93.5,66.8,23.1,2.857142857,17.31481481,4.277777778,12.37037037,5.4,3.8,2.6,67.5,24.8,34.3,0.72303207,7.2,9.375,3.4444444439999997,4.7638888889999995,69.9,,,,,,98.9,56.6,41.4,1.367149758,0.2,99.7,49.0,50.0,0.98,,28.8,3700,2640,710,270,4350.0,3910.0,120.0,230.0,,,,,7.95,0.47,5.86,29.46,0.47,0.93,0.93,3.41,11.41,1.26,0.29,1.15,18.65,,8.7,1.08,7.14,64.16,0.27,1.3,1.3,3.13,52.81,1.38,0.29,0.76,15.29,,7.64,1.21,4.3,19.12,0.27,0.92,0.92,2.32,8.98,1.42,0.29,0.76,12.86,,10.31,0.94,9.43,167.02,0.27,0.76,0.76,5.91,198.46,1.79,0.29,1.29,10.32,
347,0,0.0,1.0,1.0,1.0,0.0,0.0,0.2,18.5,6.5,2.8461538460000004,0.0,1.0,1.0,1.0,3.0,4.6,301.0,1041.0,999.0,1192.0,1.0,1.0,36.9,27.2,8.3,3.263157895,2.635714286,0.5928571429999999,1.9428571430000001,14.0,,,,,,,,,,,,,,,,,989.4,91.0,29.3,19.9,8.0,2.4875,10.3,2.844660194,1.932038835,0.7766990290000001,77.2,83.0,60.9,21.7,2.806451613,0.4,99.4,87.5,11.6,7.543103447999999,0.3,99.7,83.5,15.9,5.251572327,0.17600000000000002,48.3,2970,2190,550,170,1330.0,1170.0,80.0,70.0,390.0,260.0,60.0,50.0,12.65,0.54,3.94,26.68,0.32,0.71,0.12,25.82,11.04,1.35,0.25,0.42,27.23,260.72,,0.54,3.27,26.12,0.29,0.71,0.12,3.13,13.28,1.92,0.25,0.42,16.63,231.01,47.68,0.54,3.79,26.12,0.29,0.71,0.12,6.61,19.0,9.47,0.25,0.42,14.36,237.42,998.98,1.04,5.03,26.12,0.29,0.71,0.12,22.43,20.23,80.5,0.25,0.42,20.85,351.9
